,PhoneService,InternetService,OnlineSecurity,Contract,PaperlessBilling,PaymentMethod
45,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
46,Yes,DSL,No,Month-to-month,No,Mailed check
47,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
48,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
49,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
50,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
51,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic)
52,Yes,DSL,Yes,Month-to-month,Yes,Credit card (automatic)
53,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
54,Yes,DSL,Yes,One year,Yes,Credit card (automatic)
55,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
56,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic)
57,Yes,Fiber optic,No,One year,Yes,Electronic check
58,Yes,No,No internet service,Two year,No,Credit card (automatic)
59,Yes,Fiber optic,No,Two year,Yes,Credit card (automatic)
60,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
61,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
62,No,DSL,Yes,Two year,No,Bank transfer (automatic)
63,Yes,DSL,No,One year,Yes,Credit card (automatic)
64,Yes,Fiber optic,No,Month-to-month,No,Electronic check
65,Yes,DSL,No,Month-to-month,Yes,Electronic check
66,Yes,Fiber optic,No,One year,Yes,Electronic check
67,Yes,DSL,No,Two year,No,Mailed check
68,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
69,Yes,Fiber optic,Yes,Month-to-month,Yes,Mailed check
70,Yes,DSL,No,Month-to-month,No,Mailed check
71,Yes,No,No internet service,One year,Yes,Electronic check
72,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic)
73,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic)
74,Yes,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic)
75,Yes,Fiber optic,Yes,One year,No,Electronic check
76,Yes,DSL,No,One year,No,Credit card (automatic)
77,Yes,DSL,Yes,Month-to-month,No,Mailed check
78,Yes,DSL,Yes,Month-to-month,Yes,Electronic check
79,Yes,No,No internet service,One year,Yes,Credit card (automatic)
80,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
81,No,DSL,Yes,Month-to-month,No,Electronic check
82,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
83,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
84,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic)
85,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
86,Yes,DSL,Yes,One year,Yes,Bank transfer (automatic)
87,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
88,Yes,No,No internet service,Two year,Yes,Mailed check
89,No,DSL,No,Month-to-month,No,Mailed check
90,Yes,Fiber optic,No,Month-to-month,No,Bank transfer (automatic)
91,Yes,Fiber optic,No,Month-to-month,No,Electronic check
92,Yes,DSL,Yes,Two year,Yes,Mailed check
93,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic)
94,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
95,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
96,Yes,DSL,Yes,One year,Yes,Credit card (automatic)
97,Yes,No,No internet service,Month-to-month,No,Mailed check
98,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
99,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
100,Yes,No,No internet service,Month-to-month,No,Mailed check
101,Yes,No,No internet service,Month-to-month,No,Electronic check
102,Yes,Fiber optic,No,One year,No,Bank transfer (automatic)
103,No,DSL,No,One year,No,Bank transfer (automatic)
104,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
105,No,DSL,No,Month-to-month,No,Mailed check
106,Yes,Fiber optic,Yes,One year,Yes,Electronic check
107,No,DSL,Yes,One year,No,Mailed check
108,Yes,Fiber optic,No,One year,No,Mailed check
109,Yes,No,No internet service,Two year,No,Credit card (automatic)
110,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
111,Yes,DSL,Yes,One year,No,Credit card (automatic)
112,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
113,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
114,No,DSL,No,Two year,Yes,Electronic check
115,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check
116,No,DSL,Yes,Two year,No,Bank transfer (automatic)
117,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
118,Yes,No,No internet service,Two year,No,Mailed check
119,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
120,Yes,Fiber optic,No,One year,Yes,Credit card (automatic)
121,Yes,No,No internet service,Month-to-month,No,Mailed check
122,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
123,Yes,DSL,Yes,Month-to-month,No,Mailed check
124,Yes,No,No internet service,Month-to-month,No,Mailed check
125,Yes,Fiber optic,Yes,Two year,Yes,Electronic check
126,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
127,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic)
128,Yes,No,No internet service,Month-to-month,No,Mailed check
129,No,DSL,Yes,One year,Yes,Electronic check
130,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
131,No,DSL,Yes,Month-to-month,Yes,Credit card (automatic)
132,Yes,DSL,No,Two year,No,Bank transfer (automatic)
133,No,DSL,No,Month-to-month,Yes,Electronic check
134,Yes,DSL,No,Month-to-month,No,Electronic check
135,Yes,No,No internet service,Two year,Yes,Credit card (automatic)
136,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic)
137,Yes,No,No internet service,Two year,No,Mailed check
138,Yes,No,No internet service,Two year,Yes,Mailed check
139,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
140,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
141,Yes,DSL,Yes,Month-to-month,No,Electronic check
142,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
143,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic)
144,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
145,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
146,Yes,No,No internet service,One year,No,Mailed check
147,Yes,DSL,No,Month-to-month,Yes,Electronic check
148,Yes,DSL,No,One year,No,Credit card (automatic)
149,Yes,DSL,No,Month-to-month,Yes,Mailed check
150,Yes,DSL,No,Month-to-month,Yes,Electronic check
151,Yes,Fiber optic,No,Month-to-month,No,Mailed check
152,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic)
153,Yes,DSL,Yes,Two year,No,Electronic check
154,Yes,No,No internet service,Month-to-month,No,Mailed check
155,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
156,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
157,Yes,No,No internet service,One year,No,Mailed check
158,Yes,DSL,Yes,Two year,No,Mailed check
159,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
160,Yes,DSL,Yes,Month-to-month,Yes,Electronic check
161,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check
162,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
163,Yes,DSL,No,Two year,Yes,Bank transfer (automatic)
164,Yes,No,No internet service,One year,No,Mailed check
165,Yes,No,No internet service,Two year,No,Mailed check
166,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
167,Yes,DSL,Yes,Two year,Yes,Bank transfer (automatic)
168,No,DSL,No,Month-to-month,Yes,Electronic check
169,Yes,No,No internet service,Month-to-month,No,Electronic check
170,Yes,Fiber optic,Yes,One year,Yes,Bank transfer (automatic)
171,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
172,Yes,DSL,No,Two year,No,Mailed check
173,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic)
174,Yes,No,No internet service,One year,No,Bank transfer (automatic)
175,Yes,No,No internet service,Month-to-month,No,Electronic check
176,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
177,Yes,Fiber optic,Yes,Month-to-month,No,Bank transfer (automatic)
178,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
179,Yes,No,No internet service,One year,Yes,Credit card (automatic)
180,No,DSL,No,Month-to-month,No,Bank transfer (automatic)
181,Yes,DSL,No,Month-to-month,No,Mailed check
182,Yes,Fiber optic,No,Month-to-month,No,Bank transfer (automatic)
183,Yes,DSL,Yes,One year,No,Credit card (automatic)
184,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
185,No,DSL,No,Month-to-month,Yes,Electronic check
186,Yes,DSL,No,Month-to-month,Yes,Mailed check
187,No,DSL,No,Month-to-month,No,Electronic check
188,Yes,No,No internet service,One year,No,Electronic check
189,Yes,DSL,No,Month-to-month,No,Credit card (automatic)
190,Yes,DSL,Yes,One year,Yes,Credit card (automatic)
191,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
192,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
193,Yes,Fiber optic,Yes,Two year,No,Credit card (automatic)
194,Yes,No,No internet service,Two year,No,Credit card (automatic)
195,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
196,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic)
197,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
198,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
199,Yes,No,No internet service,Month-to-month,No,Mailed check
200,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic)
201,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
202,Yes,Fiber optic,Yes,Two year,No,Electronic check
203,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
204,Yes,Fiber optic,No,Month-to-month,No,Credit card (automatic)
205,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic)
206,No,DSL,Yes,Two year,Yes,Credit card (automatic)
207,Yes,Fiber optic,No,Month-to-month,No,Electronic check
208,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
209,Yes,Fiber optic,No,One year,Yes,Credit card (automatic)
210,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
211,No,DSL,No,Month-to-month,No,Electronic check
212,Yes,No,No internet service,Two year,No,Mailed check
213,Yes,No,No internet service,One year,No,Electronic check
214,Yes,Fiber optic,No,Month-to-month,No,Electronic check
215,No,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic)
216,No,DSL,Yes,Two year,No,Credit card (automatic)
217,No,DSL,Yes,Two year,Yes,Bank transfer (automatic)
218,Yes,DSL,No,Two year,Yes,Bank transfer (automatic)
219,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
220,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
221,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
222,Yes,No,No internet service,One year,Yes,Electronic check
223,Yes,DSL,No,Month-to-month,No,Mailed check
224,Yes,No,No internet service,One year,Yes,Bank transfer (automatic)
225,No,DSL,Yes,One year,Yes,Mailed check
226,Yes,DSL,Yes,One year,Yes,Mailed check
227,Yes,DSL,No,Month-to-month,No,Mailed check
228,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
229,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
230,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
231,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic)
232,Yes,Fiber optic,Yes,Month-to-month,Yes,Mailed check
233,Yes,No,No internet service,Two year,No,Credit card (automatic)
234,Yes,No,No internet service,Month-to-month,No,Electronic check
235,Yes,DSL,No,Month-to-month,Yes,Mailed check
236,No,DSL,No,Two year,Yes,Mailed check
237,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
238,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
239,Yes,No,No internet service,Two year,No,Mailed check
240,Yes,DSL,No,Two year,No,Bank transfer (automatic)
241,Yes,Fiber optic,No,Two year,No,Bank transfer (automatic)
242,Yes,DSL,Yes,One year,Yes,Credit card (automatic)
243,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check
244,Yes,DSL,No,Month-to-month,Yes,Electronic check
245,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check
246,Yes,DSL,No,One year,No,Mailed check
247,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
248,Yes,DSL,Yes,Month-to-month,Yes,Mailed check
249,Yes,Fiber optic,Yes,One year,Yes,Electronic check
250,Yes,Fiber optic,Yes,One year,Yes,Electronic check
251,Yes,Fiber optic,No,Month-to-month,No,Electronic check
252,No,DSL,No,Month-to-month,No,Electronic check
253,Yes,DSL,No,One year,No,Credit card (automatic)
254,Yes,No,No internet service,Month-to-month,Yes,Mailed check
255,No,DSL,No,Two year,Yes,Electronic check
256,Yes,Fiber optic,Yes,Two year,No,Credit card (automatic)
257,Yes,Fiber optic,Yes,One year,No,Credit card (automatic)
258,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
259,No,DSL,Yes,Month-to-month,Yes,Electronic check
260,No,DSL,No,Month-to-month,Yes,Electronic check
261,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
262,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
263,No,DSL,Yes,Two year,Yes,Bank transfer (automatic)
264,Yes,Fiber optic,Yes,One year,No,Mailed check
265,Yes,DSL,Yes,Two year,No,Mailed check
266,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
267,Yes,Fiber optic,Yes,Month-to-month,Yes,Mailed check
268,Yes,No,No internet service,Two year,No,Mailed check
269,Yes,No,No internet service,Two year,Yes,Credit card (automatic)
270,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
271,Yes,DSL,Yes,Two year,Yes,Electronic check
272,No,DSL,No,Month-to-month,No,Bank transfer (automatic)
273,Yes,Fiber optic,No,Month-to-month,No,Electronic check
274,Yes,Fiber optic,No,Month-to-month,No,Mailed check
275,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
276,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
277,Yes,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic)
278,No,DSL,No,Month-to-month,Yes,Electronic check
279,Yes,DSL,No,Month-to-month,No,Bank transfer (automatic)
280,Yes,DSL,Yes,Month-to-month,No,Mailed check
281,Yes,DSL,No,Month-to-month,No,Electronic check
282,Yes,No,No internet service,Month-to-month,No,Mailed check
283,Yes,DSL,Yes,Month-to-month,No,Mailed check
284,Yes,Fiber optic,No,Month-to-month,No,Mailed check
285,Yes,Fiber optic,No,One year,Yes,Credit card (automatic)
286,Yes,DSL,No,Month-to-month,Yes,Electronic check
287,Yes,Fiber optic,No,Month-to-month,No,Electronic check
288,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
289,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
290,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
291,Yes,DSL,Yes,One year,No,Mailed check
292,Yes,Fiber optic,No,One year,No,Mailed check
293,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
294,Yes,No,No internet service,Month-to-month,No,Mailed check
295,Yes,No,No internet service,Month-to-month,No,Mailed check
296,Yes,Fiber optic,No,Two year,No,Electronic check
297,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
298,Yes,DSL,No,Month-to-month,Yes,Electronic check
299,Yes,Fiber optic,Yes,Month-to-month,Yes,Mailed check
300,Yes,DSL,No,One year,Yes,Bank transfer (automatic)
301,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
302,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
303,No,DSL,No,Two year,No,Credit card (automatic)
304,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
305,Yes,No,No internet service,Two year,No,Mailed check
306,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
307,Yes,DSL,No,Two year,No,Mailed check
308,Yes,Fiber optic,No,Month-to-month,No,Electronic check
309,Yes,DSL,Yes,One year,Yes,Credit card (automatic)
310,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic)
311,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
312,Yes,Fiber optic,Yes,Two year,No,Credit card (automatic)
313,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
314,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
315,Yes,Fiber optic,Yes,One year,No,Credit card (automatic)
316,Yes,No,No internet service,Two year,Yes,Credit card (automatic)
317,Yes,DSL,Yes,One year,No,Credit card (automatic)
318,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
319,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
320,Yes,DSL,Yes,One year,No,Bank transfer (automatic)
321,No,DSL,No,Two year,Yes,Electronic check
322,Yes,DSL,No,Month-to-month,Yes,Electronic check
323,Yes,DSL,Yes,One year,No,Mailed check
324,No,DSL,Yes,Two year,Yes,Bank transfer (automatic)
325,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
326,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
327,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
328,No,DSL,No,Month-to-month,Yes,Electronic check
329,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
330,Yes,No,No internet service,Two year,Yes,Mailed check
331,Yes,No,No internet service,One year,Yes,Mailed check
332,Yes,Fiber optic,No,One year,Yes,Credit card (automatic)
333,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
334,Yes,Fiber optic,No,Month-to-month,No,Mailed check
335,Yes,DSL,No,One year,Yes,Bank transfer (automatic)
336,Yes,Fiber optic,No,Two year,Yes,Electronic check
337,Yes,DSL,Yes,Two year,Yes,Electronic check
338,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
339,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
340,Yes,DSL,No,Month-to-month,No,Bank transfer (automatic)
341,Yes,DSL,Yes,Two year,No,Credit card (automatic)
342,Yes,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic)
343,Yes,No,No internet service,One year,No,Mailed check
344,Yes,No,No internet service,One year,Yes,Credit card (automatic)
345,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
346,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
347,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
348,No,DSL,No,Month-to-month,Yes,Electronic check
349,Yes,Fiber optic,Yes,One year,No,Bank transfer (automatic)
350,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
351,Yes,DSL,No,One year,No,Mailed check
352,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
353,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
354,No,DSL,Yes,Month-to-month,Yes,Electronic check
355,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
356,Yes,DSL,Yes,Month-to-month,Yes,Electronic check
357,Yes,Fiber optic,No,Two year,Yes,Electronic check
358,No,DSL,Yes,Month-to-month,No,Credit card (automatic)
359,Yes,Fiber optic,Yes,One year,No,Electronic check
360,Yes,No,No internet service,Month-to-month,No,Mailed check
361,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
362,Yes,DSL,No,One year,No,Credit card (automatic)
363,Yes,No,No internet service,Two year,Yes,Mailed check
364,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
365,Yes,Fiber optic,No,Month-to-month,No,Bank transfer (automatic)
366,Yes,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic)
367,Yes,No,No internet service,Month-to-month,No,Mailed check
368,Yes,Fiber optic,No,One year,Yes,Credit card (automatic)
369,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
370,Yes,No,No internet service,One year,No,Mailed check
371,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
372,No,DSL,Yes,Two year,No,Mailed check
373,Yes,Fiber optic,No,One year,Yes,Credit card (automatic)
374,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
375,Yes,DSL,No,One year,No,Credit card (automatic)
376,No,DSL,No,Month-to-month,No,Mailed check
377,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
378,Yes,DSL,Yes,Two year,No,Electronic check
379,Yes,Fiber optic,No,One year,No,Electronic check
380,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic)
381,Yes,DSL,No,Month-to-month,No,Mailed check
382,No,DSL,Yes,Two year,Yes,Bank transfer (automatic)
383,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
384,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
385,Yes,No,No internet service,Month-to-month,No,Mailed check
386,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
387,No,DSL,Yes,One year,Yes,Electronic check
388,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
389,Yes,DSL,No,Month-to-month,No,Electronic check
390,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
391,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic)
392,Yes,DSL,No,Month-to-month,Yes,Electronic check
393,Yes,No,No internet service,Month-to-month,No,Mailed check
394,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
395,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
396,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic)
397,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
398,No,DSL,No,Month-to-month,Yes,Electronic check
399,Yes,No,No internet service,One year,No,Mailed check
400,Yes,No,No internet service,One year,No,Bank transfer (automatic)
401,Yes,No,No internet service,One year,No,Credit card (automatic)
402,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
403,Yes,DSL,Yes,One year,No,Bank transfer (automatic)
404,Yes,No,No internet service,Two year,Yes,Mailed check
405,Yes,No,No internet service,Two year,Yes,Credit card (automatic)
406,Yes,Fiber optic,Yes,One year,Yes,Bank transfer (automatic)
407,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
408,Yes,No,No internet service,Month-to-month,Yes,Mailed check
409,Yes,No,No internet service,Month-to-month,Yes,Mailed check
410,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
411,Yes,No,No internet service,One year,Yes,Bank transfer (automatic)
412,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
413,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
414,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
415,Yes,Fiber optic,No,Month-to-month,No,Bank transfer (automatic)
416,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
417,Yes,No,No internet service,Two year,Yes,Mailed check
418,Yes,Fiber optic,No,Month-to-month,No,Electronic check
419,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
420,Yes,No,No internet service,Month-to-month,Yes,Mailed check
421,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
422,Yes,Fiber optic,No,One year,No,Credit card (automatic)
423,Yes,No,No internet service,One year,No,Mailed check
424,No,DSL,Yes,Month-to-month,No,Bank transfer (automatic)
425,Yes,DSL,No,Month-to-month,No,Bank transfer (automatic)
426,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic)
427,Yes,Fiber optic,No,Month-to-month,No,Electronic check
428,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
429,Yes,DSL,Yes,One year,No,Bank transfer (automatic)
430,Yes,No,No internet service,Month-to-month,Yes,Mailed check
431,No,DSL,Yes,Two year,Yes,Credit card (automatic)
432,Yes,DSL,Yes,Month-to-month,No,Electronic check
433,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic)
434,Yes,No,No internet service,Two year,Yes,Electronic check
435,No,DSL,No,Month-to-month,Yes,Credit card (automatic)
436,Yes,No,No internet service,One year,No,Bank transfer (automatic)
437,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
438,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
439,Yes,DSL,No,Month-to-month,No,Mailed check
440,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
441,Yes,Fiber optic,Yes,Month-to-month,No,Credit card (automatic)
442,Yes,Fiber optic,Yes,One year,Yes,Mailed check
443,Yes,DSL,Yes,Month-to-month,No,Electronic check
444,Yes,Fiber optic,No,Month-to-month,No,Electronic check
445,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
446,Yes,Fiber optic,No,Month-to-month,No,Mailed check
447,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic)
448,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
449,Yes,Fiber optic,Yes,Two year,No,Bank transfer (automatic)
450,Yes,No,No internet service,One year,No,Mailed check
